OFFC_NM,PGM_NM,ACTV_NM,sactv_n,amt_eok,chooyeon_eok
과학기술정보통신부,인공지능데이터진흥,AI경쟁력강화(일반),8,2186.1,2178.9
과학기술정보통신부,인공지능데이터진흥,AI반도체경쟁력강화(일반),11,268.4,256.6
산업통상부,주력산업진흥,스마트전자기술개발,5,217.4,217.4
산업통상부,산업경쟁력기반구축,우수기술역량강화,7,178.1,178.0
과학기술정보통신부,인공지능데이터진흥,AI기술개발(일반),16,149.8,149.8
과학기술정보통신부,지역경제활성화,광역경제권산업경쟁력강화(지역지원),3,145.7,145.7
과학기술정보통신부,SW산업진흥,SW융합인력양성,1,118.0,118.0
과학기술정보통신부,SW산업진흥,SW융합인력양성(일반),6,116.0,116.0
산업통상부,신산업진흥,로봇산업진흥,1,56.7,56.7
국토교통부,자동차및교통정책,첨단미래형자동차활성화,1,61.8,56.5
과학기술정보통신부,인공지능데이터진흥,AI기술개발(지특),8,51.9,51.9
보건복지부,보건산업육성,보건의료연구개발,7,47.6,47.6
국방부,군인사및교육훈련,군인적자원개발교육,1,40.6,40.6
과학기술정보통신부,정보통신융합산업,ICT산업기반확충(일반),1,40.5,40.5
과학기술정보통신부,인터넷융합산업,스마트화산업기반확충(일반),6,39.0,39.0
산업통상부,산업경쟁력기반구축,산업기술기반구축,9,35.3,35.3
국방부,군수지원및협력,군수정책지원,1,35.0,35.0
국토교통부,국토교통행정지원,국토교통정책지원,1,31.5,31.5
기후에너지환경부,환경연구 및 교육,환경기술개발(환특),1,30.5,30.5
과학기술정보통신부,미래유망원천기술개발,나노·소재기술개발,2,30.0,30.0
