fld,outcome,n,corr_raw,corr_resid_CPI,delta,p_raw,p_resid,sign_change,abs_weaken,replaced
사회복지,wealth_gini,8,-0.7621592304825512,-0.855588569651949,-0.09342933916939777,0.02792105108935635,0.006737212075818754,False,False,False
보건,life_expectancy,9,0.5791500436785478,0.6688769155368592,0.08972687185831141,0.10222637625712795,0.04883825460864287,False,False,False
과학기술,patent_apps_total,9,0.11847438879521088,0.11794447313449782,-0.0005299156607130595,0.7614512296953004,0.7624934471255731,False,False,True
산업·중소기업및에너지,industry_production_index,10,0.5942494444112996,0.5456869098702608,-0.04856253454103876,0.07003914335722418,0.10275619254745884,False,False,False
문화및관광,foreign_tourists_total,9,0.05320629627104951,0.13405465403159197,0.08084835776054247,0.8918644019063701,0.7309628285368448,False,False,True
교육,private_edu_hours,10,-0.2038484908123283,-0.21697210379628934,-0.01312361298396103,0.5721537955533801,0.5470934074304492,False,False,False
국토및지역개발,housing_supply,9,-0.33263899793023755,-0.5080298738902171,-0.1753908759599796,0.38176757000500555,0.16260851916439767,False,False,False
일반·지방행정,fiscal_indep_natl,10,0.13858335088435247,0.16212522778011965,0.023541876895767172,0.702604258336192,0.6545267741145394,False,False,True
농림수산,farm_income,9,0.4933236204228813,0.5332928320488073,0.03996921162592598,0.1771699685041741,0.13926260635234738,False,False,False
교통및물류,traffic_deaths,9,-0.12867638092746936,-0.5572470284337994,-0.42857064750633,0.7414527065800499,0.11906375482525366,False,False,False
환경,ghg_total,8,0.5001642471796938,0.49694153278393943,-0.0032227143957543336,0.2068580584906481,0.2102701224937948,False,False,False
통신,broadband_per_100,10,0.24673972324609933,0.24198844241119305,-0.00475128083490628,0.49193376857477616,0.5005742312452338,False,False,True
통일·외교,oda_total,9,-0.07650617737263019,-0.07291903305968844,0.0035871443129417424,0.8449011126902627,0.8521072124559669,False,False,False
공공질서및안전,crime_occurrence,9,-0.2880781914525913,-0.2297123936558319,0.05836579779675938,0.45221767574558697,0.5521261574591325,False,False,False
국방,defense_op_margin,8,0.0599001660561414,0.18118791882277493,0.12128775276663353,0.887955553945688,0.667634710919851,False,False,False
