archetype,peak_month_k1,n
C0_personnel,1,100
C0_personnel,2,76
C0_personnel,3,68
C0_personnel,4,18
C0_personnel,5,9
C0_personnel,6,14
C0_personnel,7,31
C0_personnel,8,39
C0_personnel,9,65
C0_personnel,10,144
C0_personnel,11,406
C0_personnel,12,276
C1_direct_invest,1,88
C1_direct_invest,2,115
C1_direct_invest,3,84
C1_direct_invest,4,43
C1_direct_invest,5,29
C1_direct_invest,6,37
C1_direct_invest,7,38
C1_direct_invest,8,54
C1_direct_invest,9,68
C1_direct_invest,10,109
C1_direct_invest,11,152
C1_direct_invest,12,112
C2_chooyeon,1,38
C2_chooyeon,2,12
C2_chooyeon,3,22
C2_chooyeon,4,13
C2_chooyeon,5,11
C2_chooyeon,6,12
C2_chooyeon,7,23
C2_chooyeon,8,68
C2_chooyeon,9,194
C2_chooyeon,10,536
C2_chooyeon,11,228
C2_chooyeon,12,132
C3_normal,1,1281
C3_normal,2,1241
C3_normal,3,764
C3_normal,4,485
C3_normal,5,352
C3_normal,6,335
C3_normal,7,399
C3_normal,8,574
C3_normal,9,880
C3_normal,10,1320
C3_normal,11,1606
C3_normal,12,1409
