FLD_NM,0,1,2,3,n
일반·지방행정,0.098,0.022,0.117,0.763,325
농림수산,0.092,0.026,0.053,0.829,152
사회복지,0.076,0.014,0.042,0.868,144
공공질서및안전,0.071,0.057,0.021,0.85,140
교통및물류,0.061,0.235,0.07,0.635,115
보건,0.084,0.131,0.028,0.757,107
산업·중소기업및에너지,0.051,0.061,0.212,0.677,99
국방,0.051,0.163,0.082,0.704,98
문화및관광,0.06,0.012,0.036,0.893,84
통일·외교,0.103,0.0,0.147,0.75,68
과학기술,0.118,0.015,0.353,0.515,68
통신,0.111,0.044,0.244,0.6,45
환경,0.098,0.049,0.049,0.805,41
국토및지역개발,0.079,0.211,0.026,0.684,38
교육,0.125,0.031,0.25,0.594,32
예비비,0.0,0.0,0.0,1.0,1
