OFFC_NM,n_actv,exposure_score,exposure_budget,co_cluster,pct_A2_sub00,pct_A2_sub01,pct_A1_direct_invest
국무조정실 및 국무총리비서실,31,0.667741935483871,0.7272749291352648,2,0.0,0.7419354838709677,0.0
방위사업청,24,0.4666666666666666,0.707656792682944,4,0.0,0.2916666666666667,0.2916666666666667
행정중심복합도시건설청,11,0.4636363636363636,0.5800607785953542,4,0.0,0.09090909090909091,0.5454545454545454
과학기술정보통신부,85,0.40235294117647064,0.46192009874619133,3,0.2823529411764706,0.10588235294117647,0.03529411764705882
산업통상자원부,49,0.2714285714285714,0.4697699467721727,3,0.1836734693877551,0.08163265306122448,0.02040816326530612
중소벤처기업부,29,0.2413793103448276,0.7164899432894114,3,0.2413793103448276,0.0,0.0
농촌진흥청,26,0.21153846153846154,0.30078425493590794,0,0.038461538461538464,0.19230769230769232,0.0
교육부,31,0.20967741935483872,0.08085467908902362,3,0.12903225806451613,0.06451612903225806,0.03225806451612903
외교부,41,0.19999999999999998,0.2732134303092398,0,0.024390243902439025,0.1951219512195122,0.0
국토교통부,95,0.19157894736842104,0.36357216656080465,1,0.05263157894736842,0.031578947368421054,0.15789473684210525
조달청,15,0.18666666666666665,0.17714609075222035,1,0.0,0.0,0.26666666666666666
소방청,13,0.1846153846153846,0.27701026637722803,1,0.07692307692307693,0.0,0.15384615384615385
원자력안전위원회,5,0.18,0.6266638863675392,0,0.0,0.2,0.0
방송통신위원회,6,0.16666666666666666,0.2307607232343418,3,0.16666666666666666,0.0,0.0
특허청,21,0.16666666666666666,0.00499550767246149,1,0.0,0.0,0.23809523809523808
해양수산부,86,0.13372093023255813,0.3053871966563088,1,0.011627906976744186,0.0,0.1744186046511628
공정거래위원회,14,0.1285714285714286,0.3574605158569381,0,0.0,0.14285714285714285,0.0
해양경찰청,15,0.11333333333333333,0.10666583273996856,0,0.06666666666666667,0.0,0.06666666666666667
기상청,26,0.10384615384615385,0.1151065141699871,0,0.0,0.11538461538461539,0.0
보건복지부,147,0.10204081632653061,0.011101784992032411,1,0.013605442176870748,0.013605442176870748,0.10884353741496598
고용노동부,36,0.1,0.10673593491939547,0,0.0,0.1111111111111111,0.0
대법원,15,0.09333333333333332,0.024799104945526392,1,0.0,0.0,0.13333333333333333
기획재정부,30,0.09333333333333332,0.019190699603368694,0,0.03333333333333333,0.06666666666666667,0.0
행정안전부,82,0.08902439024390245,0.0036121307918088367,0,0.06097560975609756,0.012195121951219513,0.024390243902439025
감사원,8,0.0875,0.01987343132211626,1,0.0,0.0,0.125
국방부,64,0.0875,0.07015464855162726,1,0.0,0.0,0.125
금융위원회,11,0.08181818181818182,0.048776757867247625,0,0.0,0.09090909090909091,0.0
환경부,34,0.07941176470588236,0.03731155094308132,0,0.058823529411764705,0.0,0.029411764705882353
병무청,10,0.06999999999999999,0.005513094440842041,1,0.0,0.0,0.1
농림축산식품부,51,0.050980392156862744,0.26871046996065057,0,0.0196078431372549,0.0196078431372549,0.0196078431372549
통일부,22,0.04090909090909091,0.2166767029234495,0,0.0,0.045454545454545456,0.0
경찰청,36,0.03888888888888889,0.00263895696080632,0,0.0,0.0,0.05555555555555555
식품의약품안전처,27,0.037037037037037035,0.03063392294797726,0,0.037037037037037035,0.0,0.0
산림청,39,0.035897435897435895,0.02462953295888529,0,0.0,0.0,0.05128205128205128
문화재청,25,0.027999999999999997,0.022247017862123356,0,0.0,0.0,0.04
법무부,38,0.018421052631578946,0.0028785711196680683,0,0.0,0.0,0.02631578947368421
문화체육관광부,57,0.017543859649122806,0.008486724460119123,0,0.017543859649122806,0.0,0.0
국세청,26,0.0,0.0,0,0.0,0.0,0.0
국회,27,0.0,0.0,0,0.0,0.0,0.0
관세청,15,0.0,0.0,0,0.0,0.0,0.0
국가보훈처,24,0.0,0.0,0,0.0,0.0,0.0
국가인권위원회,8,0.0,0.0,0,0.0,0.0,0.0
국민권익위원회,9,0.0,0.0,0,0.0,0.0,0.0
법제처,6,0.0,0.0,0,0.0,0.0,0.0
민주평화통일자문회의,5,0.0,0.0,0,0.0,0.0,0.0
대통령비서실 및 국가안보실,5,0.0,0.0,0,0.0,0.0,0.0
인사혁신처,20,0.0,0.0,0,0.0,0.0,0.0
통계청,21,0.0,0.0,0,0.0,0.0,0.0
중앙선거관리위원회,8,0.0,0.0,0,0.0,0.0,0.0
여성가족부,13,0.0,0.0,0,0.0,0.0,0.0
헌법재판소,7,0.0,0.0,0,0.0,0.0,0.0
